"Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality"
"Chris Woakes,Punjab Kings Squad,Right,Right,Pacer,International"
"Arshdeep Singh,Punjab Kings Squad,Left,Left,Pacer,Indian"
"Rahul Chahar,Punjab Kings Squad,Right,Right,Wrist Spinners,Indian"
"Nathan Ellis,Punjab Kings Squad,Right,Right,Pacer,International"
"Harpreet Brar,Punjab Kings Squad,Left,Left,Finger Spinners,Indian"
"Vidwath Kaverappa,Punjab Kings Squad,Right,Right,Pacer,Indian"
"Harshal Patel,Punjab Kings Squad,Right,Right,Pacer,Indian"
"Kagiso Rabada,Punjab Kings Squad,Left,Right,Pacer,International"
"Sanju Samson,Rajasthan Royals Squad,Right,,,Indian"
"Jos Buttler,Rajasthan Royals Squad,Right,,,International"
"Shubham Dubey,Rajasthan Royals Squad,Left,Right,Finger Spinners,Indian"
"Shimron Hetmyer,Rajasthan Royals Squad,Left,,,International"
"Yashasvi Jaiswal,Rajasthan Royals Squad,Left,Right,Wrist Spinners,Indian"
"Dhruv Jurel,Rajasthan Royals Squad,Right,,,Indian"
"Tom Kohler-Cadmore,Rajasthan Royals Squad,Right,Right,Finger Spinners,International"
"Riyan Parag,Rajasthan Royals Squad,Right,Right,Wrist Spinners,Indian"
"Rovman Powell,Rajasthan Royals Squad,Right,Right,Pacer,International"
"Kunal Singh Rathore,Rajasthan Royals Squad,Left,,,Indian"
"Ravichandran Ashwin,Rajasthan Royals Squad,Right,Right,Finger Spinners,Indian"
"Donovan Ferreira,Rajasthan Royals Squad,Right,Right,Finger Spinners,International"
"Avesh Khan,Rajasthan Royals Squad,Right,Right,Pacer,Indian"
"Trent Boult,Rajasthan Royals Squad,Right,Left,Pacer,International"
"Nandre Burger,Rajasthan Royals Squad,Left,Left,Pacer,International"
"Yuzvendra Chahal,Rajasthan Royals Squad,Right,Right,Wrist Spinners,Indian"
"Prasidh Krishna,Rajasthan Royals Squad,Right,Right,Pacer,Indian"
"Navdeep Saini,Rajasthan Royals Squad,Right,Right,Pacer,Indian"
