Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality,Team Acronym
Tilak Varma,Mumbai Indians Squad,Left,Right,Finger Spinners,Indian,MI
Jason Behrendorff,Mumbai Indians Squad,Right,Left,Pacer,International,MI
Jasprit Bumrah,Mumbai Indians Squad,Right,Right,Pacer,Indian,MI
Gerald Coetzee,Mumbai Indians Squad,Right,Right,Pacer,International,MI
Kumar Kartikeya,Mumbai Indians Squad,Right,Left,Finger Spinners,Indian,MI
Akash Madhwal,Mumbai Indians Squad,Right,Right,Pacer,Indian,MI
Dilshan Madushanka,Mumbai Indians Squad,Right,Left,Pacer,International,MI
Arjun Tendulkar,Mumbai Indians Squad,Left,Left,Pacer,Indian,MI
Nuwan Thushara,Mumbai Indians Squad,Right,Right,Pacer,International,MI
Shikhar Dhawan,Punjab Kings Squad,Left,Right,Finger Spinners,Indian,PK
Jonny Bairstow,Punjab Kings Squad,Right,Right,Pacer,International,PK
Harpreet Singh,Punjab Kings Squad,Left,Right,Pacer,Indian,PK
Prabhsimran Singh,Punjab Kings Squad,Right,,,Indian,PK
Rilee Rossouw,Punjab Kings Squad,Left,Right,Finger Spinners,International,PK
Jitesh Sharma,Punjab Kings Squad,Right,,,Indian,PK
Sam Curran,Punjab Kings Squad,Left,Left,Pacer,International,PK
Rishi Dhawan,Punjab Kings Squad,Right,Right,Pacer,Indian,PK
Liam Livingstone,Punjab Kings Squad,Right,Right,Finger Spinners,International,PK
Shashank Singh,Punjab Kings Squad,Right,Right,Pacer,Indian,PK
Shivam Singh,Punjab Kings Squad,Right,Right,Finger Spinners,Indian,PK
Sikandar Raza,Punjab Kings Squad,Right,Right,Finger Spinners,International,PK
Atharva Taide,Punjab Kings Squad,Left,Left,Finger Spinners,Indian,PK
Chris Woakes,Punjab Kings Squad,Right,Right,Pacer,International,PK
Arshdeep Singh,Punjab Kings Squad,Left,Left,Pacer,Indian,PK
Rahul Chahar,Punjab Kings Squad,Right,Right,Wrist Spinners,Indian,PK
Nathan Ellis,Punjab Kings Squad,Right,Right,Pacer,International,PK
Harpreet Brar,Punjab Kings Squad,Left,Left,Finger Spinners,Indian,PK
Vidwath Kaverappa,Punjab Kings Squad,Right,Right,Pacer,Indian,PK
Harshal Patel,Punjab Kings Squad,Right,Right,Pacer,Indian,PK
Kagiso Rabada,Punjab Kings Squad,Left,Right,Pacer,International,PK
Sanju Samson,Rajasthan Royals Squad,Right,,,Indian,RR
Jos Buttler,Rajasthan Royals Squad,Right,,,International,RR
Shubham Dubey,Rajasthan Royals Squad,Left,Right,Finger Spinners,Indian,RR
Shimron Hetmyer,Rajasthan Royals Squad,Left,,,International,RR
Yashasvi Jaiswal,Rajasthan Royals Squad,Left,Right,Wrist Spinners,Indian,RR
Dhruv Jurel,Rajasthan Royals Squad,Right,,,Indian,RR
Tom Kohler-Cadmore,Rajasthan Royals Squad,Right,Right,Finger Spinners,International,RR
Riyan Parag,Rajasthan Royals Squad,Right,Right,Wrist Spinners,Indian,RR
Rovman Powell,Rajasthan Royals Squad,Right,Right,Pacer,International,RR
Kunal Singh Rathore,Rajasthan Royals Squad,Left,,,Indian,RR
Ravichandran Ashwin,Rajasthan Royals Squad,Right,Right,Finger Spinners,Indian,RR
Donovan Ferreira,Rajasthan Royals Squad,Right,Right,Finger Spinners,International,RR
Avesh Khan,Rajasthan Royals Squad,Right,Right,Pacer,Indian,RR
Trent Boult,Rajasthan Royals Squad,Right,Left,Pacer,International,RR
Nandre Burger,Rajasthan Royals Squad,Left,Left,Pacer,International,RR
Yuzvendra Chahal,Rajasthan Royals Squad,Right,Right,Wrist Spinners,Indian,RR
Prasidh Krishna,Rajasthan Royals Squad,Right,Right,Pacer,Indian,RR
Navdeep Saini,Rajasthan Royals Squad,Right,Right,Pacer,Indian,RR
Sandeep Sharma,Rajasthan Royals Squad,Right,Right,Pacer,Indian,RR
Kuldeep Sen,Rajasthan Royals Squad,Right,Right,Pacer,Indian,RR
Adam Zampa,Rajasthan Royals Squad,Right,Right,Wrist Spinners,International,RR
Faf du Plessis,Royal Challengers Bangalore Squad,Right,Right,Wrist Spinners,International,RCB
Anuj Rawat,Royal Challengers Bangalore Squad,Left,,,Indian,RCB
Saurav Chauhan,Royal Challengers Bangalore Squad,Left,Right,Finger Spinners,Indian,RCB
